Timestamp,Trial,Adj_Local_Sway_X,Adj_Local_Sway_Z,Local_Sway_Radius,Local_Sway_Jerk,Orb_Event,Reaction_Time,Movement_Time
18.468,1,0.0234,0.0190,0.0302,201.2363,None,0.000,0.000
18.489,1,0.0255,0.0180,0.0313,696.0121,None,0.000,0.000
18.514,1,0.0288,0.0167,0.0333,568.6395,None,0.000,0.000
18.538,1,0.0323,0.0155,0.0358,363.5496,None,0.000,0.000
18.566,1,0.0358,0.0143,0.0385,68.4473,None,0.000,0.000
18.594,1,0.0384,0.0133,0.0407,250.4611,None,0.000,0.000
18.621,1,0.0404,0.0122,0.0422,136.4618,None,0.000,0.000
18.649,1,0.0421,0.0105,0.0434,122.4440,None,0.000,0.000
18.677,1,0.0436,0.0090,0.0446,177.5570,None,0.000,0.000
18.698,1,0.0443,0.0085,0.0451,156.2348,None,0.000,0.000
18.724,1,0.0453,0.0076,0.0459,230.5260,None,0.000,0.000
18.747,1,0.0459,0.0065,0.0464,244.9897,None,0.000,0.000
18.776,1,0.0462,0.0058,0.0466,126.9155,None,0.000,0.000
18.803,1,0.0464,0.0055,0.0468,41.8569,None,0.000,0.000
18.831,1,0.0469,0.0053,0.0472,119.2778,None,0.000,0.000
18.858,1,0.0471,0.0049,0.0473,58.5117,None,0.000,0.000
18.886,1,0.0469,0.0048,0.0471,137.6096,None,0.000,0.000
18.914,1,0.0465,0.0049,0.0468,45.8941,None,0.000,0.000
18.941,1,0.0463,0.0049,0.0465,114.2846,None,0.000,0.000
18.969,1,0.0459,0.0052,0.0462,80.7181,None,0.000,0.000
18.997,1,0.0456,0.0055,0.0459,67.6245,None,0.000,0.000
19.025,1,0.0453,0.0058,0.0457,27.9661,None,0.000,0.000
19.053,1,0.0450,0.0062,0.0454,62.7227,None,0.000,0.000
19.081,1,0.0448,0.0069,0.0453,40.5145,None,0.000,0.000
19.108,1,0.0446,0.0075,0.0453,84.0368,None,0.000,0.000
19.136,1,0.0444,0.0078,0.0451,32.2719,None,0.000,0.000
19.164,1,0.0443,0.0081,0.0451,108.3621,None,0.000,0.000
19.192,1,0.0442,0.0087,0.0451,55.6011,None,0.000,0.000
19.220,1,0.0442,0.0090,0.0451,147.8789,None,0.000,0.000
19.248,1,0.0441,0.0090,0.0451,7.4276,None,0.000,0.000
19.276,1,0.0441,0.0092,0.0451,125.7437,None,0.000,0.000
19.303,1,0.0441,0.0096,0.0452,49.5662,None,0.000,0.000
19.331,1,0.0438,0.0101,0.0449,64.3387,None,0.000,0.000
19.359,1,0.0436,0.0103,0.0448,83.9502,None,0.000,0.000
19.387,1,0.0434,0.0105,0.0446,84.4739,None,0.000,0.000
19.415,1,0.0432,0.0110,0.0445,65.8684,Orb Spawned,0.000,0.000
19.442,1,0.0429,0.0116,0.0445,94.6929,None,0.000,0.000
19.470,1,0.0426,0.0121,0.0443,21.8983,None,0.000,0.000
19.498,1,0.0422,0.0127,0.0441,62.8863,None,0.000,0.000
19.526,1,0.0418,0.0132,0.0438,131.8608,None,0.000,0.000
19.554,1,0.0412,0.0138,0.0434,55.9512,None,0.000,0.000
19.582,1,0.0416,0.0146,0.0441,136.8333,None,0.000,0.000
19.610,1,0.0434,0.0155,0.0461,69.7817,None,0.000,0.000
19.638,1,0.0466,0.0159,0.0492,122.8846,None,0.000,0.000
19.665,1,0.0555,0.0159,0.0577,572.8947,None,0.000,0.000
19.693,1,0.0666,0.0153,0.0683,540.9095,None,0.000,0.000
19.726,1,0.0748,0.0126,0.0758,746.6396,None,0.000,0.000
19.749,1,0.0816,0.0095,0.0822,322.7818,None,0.000,0.000
19.777,1,0.0862,0.0073,0.0865,187.8357,None,0.000,0.000
19.805,1,0.0895,0.0060,0.0897,251.9388,Movement Initiated,0.404,0.000
19.832,1,0.0928,0.0045,0.0929,269.0985,None,0.000,0.000
19.860,1,0.0948,0.0027,0.0949,214.1620,None,0.000,0.000
19.888,1,0.0951,0.0008,0.0952,55.8189,None,0.000,0.000
19.916,1,0.0948,-0.0005,0.0948,227.9057,None,0.000,0.000
19.944,1,0.0940,-0.0013,0.0940,191.9441,None,0.000,0.000
19.972,1,0.0927,-0.0023,0.0927,87.9761,Hit,0.000,0.167
20.000,1,0.0908,-0.0035,0.0908,25.3334,None,0.000,0.000
20.028,1,0.0887,-0.0033,0.0888,283.9822,None,0.000,0.000
20.055,1,0.0868,-0.0014,0.0868,126.9812,None,0.000,0.000
